Driver,LapNumber,LapTime,FormattedLapTime
PIA,14.0,135.81,2.0:15.0
PIA,15.0,,nan:nan
PIA,16.0,,nan:nan
PIA,17.0,,nan:nan
PIA,18.0,118.043,1.0:58.0
PIA,19.0,,nan:nan
PIA,20.0,,nan:nan
PIA,21.0,,nan:nan
PIA,22.0,104.494,1.0:44.0
PIA,23.0,102.3,1.0:42.0
PIA,24.0,101.978,1.0:41.0
PIA,25.0,101.581,1.0:41.0
PIA,26.0,101.646,1.0:41.0
PIA,27.0,102.133,1.0:42.0
PIA,28.0,102.428,1.0:42.0
PIA,29.0,102.815,1.0:42.0
PIA,30.0,102.887,1.0:42.0
PIA,31.0,102.642,1.0:42.0
PIA,32.0,102.01,1.0:42.0
PIA,33.0,101.663,1.0:41.0
PIA,34.0,101.386,1.0:41.0
PIA,35.0,101.091,1.0:41.0
PIA,36.0,100.97,1.0:40.0
PIA,37.0,100.351,1.0:40.0
PIA,38.0,100.127,1.0:40.0
PIA,39.0,99.8,1.0:39.0
PIA,40.0,99.461,1.0:39.0
PIA,41.0,99.273,1.0:39.0
PIA,42.0,98.87,1.0:38.0
PIA,43.0,97.478,1.0:37.0
PIA,44.0,129.636,2.0:9.0
PIA,45.0,94.87,1.0:34.0
PIA,46.0,91.673,1.0:31.0
PIA,47.0,90.609,1.0:30.0
PIA,48.0,90.817,1.0:30.0
PIA,49.0,90.209,1.0:30.0
PIA,50.0,89.686,1.0:29.0
PIA,51.0,89.337,1.0:29.0
PIA,52.0,92.34,1.0:32.0
BEA,1.0,136.342,2.0:16.0
BEA,2.0,137.12,2.0:17.0
BEA,3.0,137.209,2.0:17.0
BEA,4.0,111.955,1.0:51.0
BEA,5.0,120.293,2.0:0.0
BEA,6.0,137.467,2.0:17.0
BEA,7.0,111.212,1.0:51.0
BEA,8.0,104.011,1.0:44.0
BEA,9.0,102.431,1.0:42.0
BEA,10.0,103.208,1.0:43.0
BEA,11.0,128.816,2.0:8.0
BEA,12.0,108.51,1.0:48.0
BEA,13.0,118.712,1.0:58.0
BEA,14.0,136.851,2.0:16.0
BEA,15.0,137.133,2.0:17.0
BEA,16.0,,nan:nan
BEA,17.0,,nan:nan
BEA,18.0,131.242,2.0:11.0
BEA,19.0,,nan:nan
BEA,20.0,,nan:nan
BEA,21.0,,nan:nan
BEA,22.0,114.756,1.0:54.0
BEA,23.0,107.955,1.0:47.0
BEA,24.0,105.308,1.0:45.0
BEA,25.0,104.627,1.0:44.0
BEA,26.0,103.157,1.0:43.0
BEA,27.0,102.738,1.0:42.0
BEA,28.0,103.912,1.0:43.0
BEA,29.0,104.926,1.0:44.0
BEA,30.0,104.269,1.0:44.0
BEA,31.0,104.0,1.0:44.0
BEA,32.0,103.978,1.0:43.0
BEA,33.0,103.937,1.0:43.0
BEA,34.0,103.948,1.0:43.0
BEA,35.0,104.439,1.0:44.0
BEA,36.0,102.937,1.0:42.0
BEA,37.0,103.169,1.0:43.0
BEA,38.0,102.626,1.0:42.0
BEA,39.0,102.278,1.0:42.0
BEA,40.0,102.278,1.0:42.0
BEA,41.0,99.875,1.0:39.0
BEA,42.0,124.956,2.0:4.0
BEA,43.0,102.511,1.0:42.0
BEA,44.0,94.874,1.0:34.0
BEA,45.0,93.735,1.0:33.0
BEA,46.0,92.102,1.0:32.0
BEA,47.0,92.098,1.0:32.0
BEA,48.0,91.041,1.0:31.0
BEA,49.0,91.273,1.0:31.0
BEA,50.0,90.921,1.0:30.0
BEA,51.0,91.121,1.0:31.0
BEA,52.0,92.585,1.0:32.0
